all_taxa	Growth.Rate	max_xyl1_estAI	max_xyl2_estAI	max_xyl3_estAI
aciculoconidium aculeatum	0	0.901721897	0.741877843	0.244152047
alloascoidea hylecoeti		0.975298229	0.992047235	0.853837812
ambrosiozyma ambrosiae	0	0.949602122	0.932095491	0.857471264
ambrosiozyma kashinagacola	0	0.781273131	0.936343449	0.467431532
ambrosiozyma maleeae	0.114615977	0.888136943	0.702627389	0.134952229
ambrosiozyma monospora	0	0.945649152	0.956908535	0.716569363
ambrosiozyma oregonensis	0.413391407	0.877122877	0.903429903	0.779220779
ambrosiozyma philentoma	0.631136889	0.930626847	0.931249028	0.900762171
ambrosiozyma pseudovanderkliftii	0	0.853916211	0.895992714	0.55136612
ambrosiozyma vanderkliftii		0.915045872	0.92733945	0.568807339
arxula adeninivorans		0.995950704	0.544542254	0.465492958
ascoidea asiatica		0.868301942	0.868009928	0.934588991
ascoidea rubescens		0.732760133	0.220038603	0.123354975
ashbya aceri		0.874598864	0.520118489	0.235991113
babjeviella inositovora	1.083011408	0.964828723	0.641143066	0.449166514
barnettozyma californica	0.624399523	0.922183293	0.852295777	0.554490135
barnettozyma hawaiiensis	0.468311588	0.9375	0.824685535	0.317610063
barnettozyma populi	0.941113457	0.931164902	0.856278366	0.372541604
barnettozyma pratensis	0.163506687	0.960131675	0.843087052	0.507681053
barnettozyma salicaria	2.036405683	0.947970269	0.57404231	0.079473985
blastobotrys americana	0.769422595	0.92355637	0.728872594	0.099541705
blastobotrys mokoenaii	0	0.982649029	0.979213194	0.72427418
blastobotrys muscicola	0	0.945954538	0.528055953	0.027022731
blastobotrys nivea		0.967625899	0.516108852	0.688770723
blastobotrys peoriensis	0.482574135	0.968592543	0.862277461	0.15485388
blastobotrys proliferans	0	0.977018182	0.904872727	0.2928
blastobotrys raffinofermentans	0.552371801	0.994802146	0.941482227	0.388497653
blastobotrys serpentis		0.96825141	0.897018533	0.413376309
brettanomyces anomalus		0.776254698	0.78045545	0.534158744
brettanomyces custersianus		0.569874477	0.421757322	0.187656904
candida albicans		0.927781872	0.763817244	0.693072955
candida arabinofermentans	0.240637933	0.968958294	0.930298991	0.860597981
candida ascalaphidarum	0.491215432	0.8875	0.816949153	0.381144068
candida athensensis	0	0.961728951	0.714768122	0.543223773
candida auris		0.988819609	0.870995485	0.549559235
candida azyma	0.351084261	0.949575276	0.857581782	0.715344298
candida blattae	0.150390792	0.940330008	0.840368381	0.548349962
candida boidinii	0.507395715	0.941020191	0.977860432	0.764257882
candida canberraensis	0.18226014	0.91328935	0.726484449	0.592648445
candida carpophila	0.521456343	0.9662874	0.819426886	0.804045512
candida corydali	0	0.930333531	0.766528518	0.760015788
candida cretensis		0.947112462	0.868490375	0.695845998
candida dubliniensis	0	0.966461473	0.850562513	0.820208024
candida emberorum		0.965800274	0.748680868	0.431893688
candida fragi		0.725796872	0.584042764	0.568006335
candida freyschussii	0.15399635	0.963736472	0.828365293	0.663375736
candida fructus	0	0.94894958	0.87394958	0.629201681
candida gatunensis		0.925145955	0.711634696	0.075479566
candida glabrata	0	0.944912641	0.243222604	0.221788284
candida golubevii	0	0.962962963	0.896473694	0.326651394
candida gorgasii	0.407356458	0.979445597	0.781365314	0.749387139
candida gotoi	0.134529532	0.970295203	0.618074573	0.799446494
candida hawaiiana	0.372397298	0.934274278	0.76109215	0.699178428
candida heveicola	0	0.952419193	0.787415641	0.598072676
candida hispaniensis	0			0.119888845
candida homilentoma		0.965444826	0.879343261	0.767086674
candida incommunis	0.219902048	0.959349593	0.78332388	0.63055398
candida intermedia	0.395809496	0.946032948	0.807233479	0.690399546
candida kruisii		0.93449862	0.872677093	0.677276909
candida montana	0	0.913518353	0.846195166	0.395702775
candida mycetangii	0.227010724	0.910270468	0.468201754	0.710526316
candida orba	0	0.927864484	0.465930719	0.23620099
candida oregonensis	0.800973756	0.985819852	0.802476533	0.507489515
candida orthopsilosis	0.164639414	0.838859416	0.849911583	0.812555261
candida parapsilosis	0.618039941	0.894021196	0.857628474	0.779044191
candida ponderosae		0.88097978	0.818839388	0.565510439
candida pyralidae		0.94058611	0.733841831	0.575270976
candida restingae	0.301896493	0.913197869	0.799960544	0.598540146
candida rhagii	0.384751819	0.971232616	0.869689465	0.796723185
candida salmanticensis		0.974846182	0.699782845	0.165399928
candida schatavii	0	0.945874836	0.907724112	0.577335087
candida sorboxylosa	0.159208062	0.818030842	0.912455516	0.203795967
candida stellimalicola		0.874012558	0.413611505	0.386064412
candida succiphila	0.393804245	0.962458012	0.76269512	0.797866034
candida tammaniensis	0.56179672	0.994029276	0.893682589	0.74422188
candida tanzawaensis		0.976808176	0.77672956	0.671187107
candida tenuis		0.960626588	0.92315834	0.74237934
