taxon	copy.no	gene	stAI
aciculoconidium aculeatum	1	xyl1	0.445023615531273
alloascoidea hylecoeti	1	xyl1	0.471638425477744
alloascoidea hylecoeti	2	xyl1	0.482744931001097
alloascoidea hylecoeti	3	xyl1	0.521042143800013
alloascoidea hylecoeti	4	xyl1	0.500003409873758
alloascoidea hylecoeti	5	xyl1	0.4933214967124
alloascoidea hylecoeti	6	xyl1	0.503283899551357
ambrosiozyma ambrosiae	1	xyl1	0.549103070314107
ambrosiozyma kashinagacola	1	xyl1	0.52138773760256
ambrosiozyma maleeae	1	xyl1	0.368003222474709
ambrosiozyma monospora	1	xyl1	0.553993290133982
ambrosiozyma monospora	2	xyl1	0.516842004806245
ambrosiozyma oregonensis	1	xyl1	0.472937556821155
ambrosiozyma oregonensis	2	xyl1	0.440232841739718
ambrosiozyma philentoma	1	xyl1	0.497265392717919
ambrosiozyma philentoma	2	xyl1	0.553583004288653
ambrosiozyma pseudovanderkliftii	1	xyl1	0.433626059875015
ambrosiozyma pseudovanderkliftii	2	xyl1	0.532145463963936
ambrosiozyma vanderkliftii	1	xyl1	0.47770300897833
arxula adeninivorans	1	xyl1	0.409000879983122
ascoidea asiatica	1	xyl1	0.677611282740142
ascoidea rubescens	1	xyl1	0.380764378884156
ashbya aceri	1	xyl1	0.368215390035666
babjeviella inositovora	1	xyl1	0.400067503550977
barnettozyma californica	1	xyl1	0.460601418257379
barnettozyma californica	2	xyl1	0.422076060660902
barnettozyma hawaiiensis	1	xyl1	0.436955004717523
barnettozyma hawaiiensis	2	xyl1	0.486997934109186
barnettozyma populi	1	xyl1	0.485429852403879
barnettozyma populi	2	xyl1	0.525063020848158
barnettozyma pratensis	1	xyl1	0.586206765139181
barnettozyma salicaria	1	xyl1	0.492432552078653
barnettozyma salicaria	2	xyl1	0.468400986254872
blastobotrys americana	1	xyl1	0.363621324843727
blastobotrys mokoenaii	1	xyl1	0.433232929234142
blastobotrys muscicola	1	xyl1	0.281258960115756
blastobotrys nivea	1	xyl1	0.430859494972916
blastobotrys peoriensis	1	xyl1	0.532849117032998
blastobotrys proliferans	1	xyl1	0.490966902667288
blastobotrys raffinofermentans	1	xyl1	0.42094106497634
blastobotrys serpentis	1	xyl1	0.533037593956248
brettanomyces anomalus	1	xyl1	0.409397983761952
brettanomyces custersianus	1	xyl1	0.392066249536439
candida albicans	1	xyl1	0.626414116488302
candida arabinofermentans	1	xyl1	0.692125046860272
candida ascalaphidarum	1	xyl1	0.388668553228857
candida athensensis	1	xyl1	0.564153760838528
candida auris	1	xyl1	0.458107165823516
candida azyma	1	xyl1	0.5107631999956
candida blattae	1	xyl1	0.374384793774343
candida blattae	2	xyl1	0.456480266670585
candida boidinii	1	xyl1	0.651907400123893
candida canberraensis	1	xyl1	0.433908522557738
candida carpophila	1	xyl1	0.592621000690691
candida carpophila	2	xyl1	0.460047096863272
candida corydali	1	xyl1	0.400352736484498
candida cretensis	1	xyl1	0.462668160905427
candida dubliniensis	1	xyl1	0.543199458259016
candida emberorum	1	xyl1	0.460742212121479
candida fragi	1	xyl1	0.358347811241263
candida freyschussii	1	xyl1	0.578783297353508
candida fructus	1	xyl1	0.429920956748898
candida gatunensis	1	xyl1	0.301567840096768
candida glabrata	1	xyl1	0.395201650441043
candida golubevii	1	xyl1	0.434439810594328
candida gorgasii	1	xyl1	0.582814626077456
candida gotoi	1	xyl1	0.442370879976354
candida hawaiiana	1	xyl1	0.446666525616597
candida heveicola	1	xyl1	0.4547488645518
candida homilentoma	1	xyl1	0.462119391313429
candida incommunis	1	xyl1	0.42697622300083
candida intermedia	1	xyl1	0.252624372948957
candida intermedia	2	xyl1	0.352811663370201
candida intermedia	3	xyl1	0.290184472272746
candida kruisii	1	xyl1	0.563944756067552
candida montana	1	xyl1	0.589131236730584
candida montana	2	xyl1	0.571650144957613
candida mycetangii	1	xyl1	0.481357871252831
candida orba	1	xyl1	0.559619953184581
candida orba	2	xyl1	0.529270538723714
candida oregonensis	1	xyl1	0.506252299305811
candida orthopsilosis	1	xyl1	0.303433113790328
candida parapsilosis	1	xyl1	0.462832712926923
candida ponderosae	1	xyl1	0.522121815293624
candida pyralidae	1	xyl1	0.527228621948323
candida restingae	1	xyl1	0.381457070493295
candida rhagii	1	xyl1	0.59400294218258
candida salmanticensis	1	xyl1	0.465436243564875
candida schatavii	1	xyl1	0.460091904304607
candida sorboxylosa	1	xyl1	0.343696400778027
candida stellimalicola	1	xyl1	0.351454204441016
candida succiphila	1	xyl1	0.439845233252848
candida tammaniensis	1	xyl1	0.592713948538675
candida tanzawaensis	1	xyl1	0.479088546002679
candida tenuis	1	xyl1	0.555578101200763
candida tropicalis	1	xyl1	0.611010720552399
candida tropicalis	2	xyl1	0.611479520208701
candida vartiovaarae	1	xyl1	0.537551879472145
candida wancherniae	1	xyl1	0.558086688762692
cephaloascus albidus	1	xyl1	0.577807572546483
cephaloascus fragrans	1	xyl1	0.614042582520549
citeromyces hawaiiensis	1	xyl1	0.428047661167898
citeromyces matritensis	1	xyl1	0.379948858124316
citeromyces siamensis	1	xyl1	0.357760774104946
clavispora lusitaniae	1	xyl1	0.421043265915899
cyberlindnera americana	1	xyl1	0.434978834276368
cyberlindnera fabianii	1	xyl1	0.503293243537331
cyberlindnera jadinii	1	xyl1	0.54735441006399
cyberlindnera jadinii	2	xyl1	0.516742880896573
cyberlindnera maclurae	1	xyl1	0.518599569576685
cyberlindnera misumaiensis	1	xyl1	0.53459865123581
cyberlindnera misumaiensis	2	xyl1	0.527807643882564
cyberlindnera mrakii	1	xyl1	0.556005213321376
cyberlindnera petersonii	1	xyl1	0.542635153708502
cyberlindnera saturnus	1	xyl1	0.5250417466849
cyberlindnera suaveolens	1	xyl1	0.566017675262141
cyberlindnera xylosilytica	1	xyl1	0.582910927832162
danielozyma ontarioensis	1	xyl1	0.505204915280196
deakozyma indianensis	1	xyl1	0.471926120489472
debaryomyces fabryi	1	xyl1	0.541209585694381
debaryomyces hansenii	1	xyl1	0.465510473116182
