taxa	opulente.2018.growth.binary	xylitol.growth.binary
Aciculoconidium aculeatum	0	0
Ambrosiozyma ambrosiae	1	0
Ambrosiozyma angophorae	1	NA
Ambrosiozyma cicatricosa	1	0
Ambrosiozyma monospora	1	0
Ambrosiozyma philentoma	1	0
Ambrosiozyma platypodis	1	0
Ascobotryozyma americana	0	0
Ascobotryozyma cognata	0	0
Ascoidea africana	1	NA
Ascoidea hylecoeti	1	NA
Ascoidea rubescens	1	NA
Babjeviella inositovora	1	NA
Barnettozyma californica	1	NA
Barnettozyma hawaiiensis	1	NA
Barnettozyma populi	1	NA
Barnettozyma pratensis	1	NA
Barnettozyma salicaria	1	NA
Barnettozyma wickerhamii	1	NA
arxula adeninivorans	1	NA
Blastobotrys americana	1	NA
Blastobotrys arbuscula	1	NA
Blastobotrys aristata	1	NA
Blastobotrys attinorum	1	NA
Blastobotrys capitulata	1	NA
Blastobotrys chiropterorum	1	0
Blastobotrys elegans	1	NA
Blastobotrys illinoisensis	1	NA
Blastobotrys indianensis	1	NA
Blastobotrys malaysiensis	1	NA
Blastobotrys mokoenaii	1	1
Blastobotrys muscicola	0	NA
Blastobotrys nivea	1	NA
Blastobotrys parvus	1	NA
Blastobotrys peoriensis	1	NA
Blastobotrys proliferans	1	NA
blastobotrys raffinofermentans	1	NA
Blastobotrys robertii	0	NA
Blastobotrys serpentis	1	NA
Blastobotrys terrestris	1	1
Botryozyma mucatilis	0	0
Botryozyma nematodophila	0	0
Brettanomyces custersianus	0	0
Brettanomyces naardenensis	1	v
Brettanomyces nanus	v	0
Candida aaseri	1	1
Candida aglyptinia	0	1
Candida akabanensis	1	1
Candida alai	1	0
Candida albicans	1	v
Candida alimentaria	0	0
Candida allociferrii	1	1
Candida amapae	1	0
Candida ambrosiae	1	1
Candida amphixiae	1	1
Candida anatomiae	0	0
Candida anglica	0	0
Candida anneliseae	1	1
Candida anutae	0	1
Candida apicola	v	v
Candida apis	0	0
Candida arabinofermentans	1	1
Candida arcana	0	NA
Candida asparagi	1	NA
Candida atakaporum	1	0
Candida atbi	v	1
Candida athensensis	1	1
Candida atlantica	1	1
Candida atmosphaerica	1	1
Candida auringiensis	1	1
Candida aurita	0	1
Candida azyma	v	1
Candida azymoides	1	1
Candida barrocoloradensis	1	1
Candida batistae	0	0
Candida bentonensis	1	NA
Candida berthetii	0	0
Candida beunavistaensis	1	1
Candida bituminiphila	1	1
Candida blankii	1	v
Candida blattariae	1	1
Candida bohiensis	1	1
Candida boidinii	1	1
Candida bokatorum	1	0
Candida boleticola	1	1
Candida bolitotheri	1	1
Candida bombi	0	0
Candida bombiphila	0	0
Candida boreocaroliniensis	1	NA
Candida bracarensis	0	0
Candida bribrorum	1	1
Candida bromeliacearum	1	1
Candida buinensis	1	1
Candida californica	v	0
Candida canberraensis	1	NA
Candida carpophila	1	v
Candida caryicola	0	0
Candida caseinolytica	1	0
Candida castellii	0	0
Candida castrensis	1	0
Candida catenulata	v	v
Candida cellae	0	0
Candida cerambycidarum	1	1
Candida chickasaworum	1	v
Candida chilensis	1	1
Candida choctaworum	1	v
Candida chrysomelidarum	0	1
Candida cidri	1	1
Candida coipomoensis	1	1
Candida conglobata	1	1
Candida cretensis	1	1
Candida cylindracea	0	0
Candida dajiaensis	1	1
Candida davenportii	0	0
Candida deformans	0	NA
Candida dendrica	0	0
Candida dendronema	1	1
Candida derodonti	0	0
Candida diddensiae	1	v
Candida digboiensis	1	1
Candida diospyri	1	NA
Candida diversa	v	0
Candida drosophilae	v	v
Candida dubliniensis	1	1
Candida easanensis	1	1
Candida elateridarum	1	1
Candida emberorum	1	0
Candida endomychidarum	1	NA
Candida entomophila	1	1
Candida ergatensis	1	1
Candida etchellsii	0	v
Candida ethanolica	0	0
Candida fennica	v	v
Candida fermenticarens	0	1
Candida floccosa	0	v
Candida floricola	v	v
Candida floridensis	1	NA
Candida floris	0	0
Candida flosculorum	1	1
Candida fluviatilis	1	1
Candida fragi	1	1
Candida freyschussii	1	1
Candida friedrichii	1	1
Candida frijolesensis	1	1
Candida fructus	1	1
Candida fukazawae	1	1
Candida fungicola	0	0
Candida galacta	0	0
Candida galis	0	v
Candida galli	0	v
Candida gatunensis	1	1
Candida gelsemii	0	0
Candida geochares	0	0
Candida germanica	1	1
Candida ghanaensis	1	0
Candida gigantensis	1	1
Candida glabrata	0	0
Candida glaebosa	1	1
Candida glucosophila	1	NA
Candida gorgasii	1	1
Candida gotoi	1	1
Candida grinbergsii	1	NA
Candida gropengiesseri	v	v
Candida guaymorum	1	0
Candida haemulonii	0	0
Candida hawaiiana	1	1
Candida heliconiae	1	0
Candida hispaniensis	0	NA
Candida hollandica	0	0
Candida homilentoma	1	1
Candida humilis	0	0
Candida hungarica	1	1
Candida hyderabadensis	NA	1
Candida incommunis	v	1
Candida inconspicua	0	0
Candida infanticola	0	NA
Candida insectalens	0	0
Candida insectamans	1	0
Candida insectorum	1	1
Candida insectosa	1	v
Candida intermedia	1	v
Candida ipomoeae	1	v
Candida ishiwadae	1	v
Candida jeffriesii	1	1
Candida jianshihensis	1	NA
Candida kipukae	1	1
Candida kofuensis	1	1
Candida krabiensis	1	NA
Candida kruisii	1	1
Candida kunorum	1	1
Candida labiduridarum	1	0
Candida lactis-condensi	0	0
Candida lassenensis	0	1
Candida leandrae	1	1
Candida lessepsii	1	1
Candida lignohabitans	1	NA
Candida lignosa	1	v
Candida linzhiensis	1	NA
Candida litsaeae	1	1
Candida llanquihuensis	1	1
Candida lycoperdinae	1	0
Candida lyxosophila	1	v
Candida magnoliae	0	1
Candida maltosa	1	v
Candida marilandica	1	NA
Candida marionensis	1	NA
Candida maris	v	1
Candida maritima	1	1
Candida maxii	0	1
Candida melibiosica	1	1
Candida membranifaciens	1	1
Candida mesenterica	v	v
Candida metapsilosis	1	1
Candida methanosorbosa	1	1
Candida michaelii	1	1
Candida milleri	0	0
Candida mogii	1	1
Candida montana	0	0
