all_taxa	Growth.Rate	growth.binary
aciculoconidium aculeatum	0	0
alloascoidea hylecoeti	NA	NA
ambrosiozyma ambrosiae	0	0
ambrosiozyma kashinagacola	0	0
ambrosiozyma maleeae	0.114615977	1
ambrosiozyma monospora	0	0
ambrosiozyma oregonensis	0.413391407	1
ambrosiozyma philentoma	0.631136889	1
ambrosiozyma pseudovanderkliftii	0	0
ambrosiozyma vanderkliftii	NA	NA
arxula adeninivorans	NA	1
ascoidea asiatica	NA	NA
ascoidea rubescens	NA	1
ashbya aceri	NA	NA
babjeviella inositovora	1.083011408	1
barnettozyma californica	0.624399523	1
barnettozyma hawaiiensis	0.468311588	1
barnettozyma populi	0.941113457	1
barnettozyma pratensis	0.163506687	1
barnettozyma salicaria	2.036405683	1
blastobotrys americana	0.769422595	1
blastobotrys mokoenaii	0	0
blastobotrys muscicola	0	0
blastobotrys nivea	NA	1
blastobotrys peoriensis	0.482574135	1
blastobotrys proliferans	0	0
blastobotrys raffinofermentans	0.552371801	1
blastobotrys serpentis	NA	1
botryozyma nematodophila	NA	0
brettanomyces anomalus	NA	NA
brettanomyces custersianus	NA	0
candida albicans	NA	1
candida arabinofermentans	0.240637933	1
candida ascalaphidarum	0.491215432	1
candida athensensis	0	0
candida auris	NA	NA
candida azyma	0.351084261	1
candida blattae	0.150390792	1
candida boidinii	0.507395715	1
candida canberraensis	0.18226014	1
candida carpophila	0.521456343	1
candida corydali	0	0
candida cretensis	NA	1
candida dubliniensis	0	0
candida emberorum	NA	1
candida fragi	NA	1
candida freyschussii	0.15399635	1
candida fructus	0	0
candida gatunensis	NA	1
candida glabrata	0	0
candida golubevii	0	0
candida gorgasii	0.407356458	1
candida gotoi	0.134529532	1
candida hawaiiana	0.372397298	1
candida heveicola	0	0
candida hispaniensis	0	0
candida homilentoma	NA	1
candida incommunis	0.219902048	1
candida intermedia	0.395809496	1
candida kruisii	NA	1
candida montana	0	0
candida mycetangii	0.227010724	1
candida orba	0	0
candida oregonensis	0.800973756	1
candida orthopsilosis	0.164639414	1
candida parapsilosis	0.618039941	1
candida ponderosae	NA	1
candida pyralidae	NA	1
candida restingae	0.301896493	1
candida rhagii	0.384751819	1
candida salmanticensis	NA	1
candida schatavii	0	0
candida sojae	0.234378605	1
candida sorboxylosa	0.159208062	1
candida stellimalicola	NA	1
candida succiphila	0.393804245	1
candida tammaniensis	0.56179672	1
candida tanzawaensis	NA	0
candida tenuis	NA	1
candida tropicalis	0.173575505	1
candida vartiovaarae	NA	1
candida wancherniae	0	0
cephaloascus albidus	0.361234779	1
cephaloascus fragrans	0	0
citeromyces hawaiiensis	0	0
citeromyces matritensis	0	0
citeromyces siamensis	0	0
clavispora lusitaniae	0.20085219	1
cyberlindnera americana	0.695865394	1
cyberlindnera fabianii	0.211013736	1
cyberlindnera jadinii	0.15288162	1
cyberlindnera maclurae	0	0
cyberlindnera misumaiensis	0.330916567	1
cyberlindnera mrakii	0.173722652	1
cyberlindnera petersonii	0.222794836	1
cyberlindnera saturnus	0.138286886	1
cyberlindnera suaveolens	0.311985854	1
cyberlindnera xylosilytica	0.384959885	1
danielozyma ontarioensis	0	0
deakozyma indianensis	0.610861411	1
debaryomyces fabryi	0.41348061	1
debaryomyces hansenii	0.531917629	1
debaryomyces maramus	0.16481472	1
debaryomyces nepalensis	0.580325312	1
