all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	xyl1.2	xyl2.2	xyl3.2	tal1.2	tkl1.2
candida tropicalis	0.610487802257428	0.557887358408451	0.534965420780194	0.61851136965181	0.646637607781082	0.610948947215486	NA	NA	NA	NA
spathaspora gorwiae	0.539072064980461	0.532194907628429	0.458510614386236	0.501046333018105	0.556119198060719	NA	0.528007305483583	NA	NA	NA
spathaspora hagerdaliae	0.583630914512486	0.532372358917666	0.496698254396821	0.595824035712578	0.601646889343122	NA	NA	NA	NA	NA
spathaspora arborariae	0.445989959275692	0.303889323483562	0.344607163124533	0.414906272063033	0.429317743672108	NA	0.371793294543544	NA	NA	NA
spathaspora girioi	0.380972448763383	0.325911259083371	0.305089098835633	0.361431916762501	0.381183676451371	NA	NA	NA	NA	NA
spathaspora passalidarum	0.522586905172239	0.353759956487149	0.4612491332852	0.527137529144953	0.561451581114394	NA	0.512720529157726	NA	NA	NA
hyphopichia burtonii	0.438410317663026	0.419688841372722	0.424935173676526	0.478424510580029	0.508306252269732	NA	NA	NA	0.499530560846582	NA
candida gotoi	0.443351872665839	0.375076121024852	0.379037071134038	0.437835454531118	0.468678897654466	NA	NA	0.382273439321023	0.349709978324195	NA
hyphopichia heimii	0.602058038109763	0.517960534855687	0.506624272532905	0.490456980691981	0.618564418336239	NA	NA	0.490093810002253	0.588349260228292	NA
candida rhagii	0.595282693705365	0.511650352829722	0.500504241883975	0.578213814793021	0.622883735619924	NA	NA	0.481962323320348	0.471365304758939	NA
lipomyces mesembrius	0.356146375970982	0.323271820175207	0.287371901839145	0.336334778012409	0.384923222838867	NA	NA	NA	NA	NA
candida athensensis	0.564660890365905	NA	0.488130477423289	0.532289079463233	0.595222853280548	NA	NA	NA	NA	NA
meyerozyma guilliermondii	0.585200024183222	0.53091712633054	0.475570361077084	0.467607026658834	0.617917931539907	0.478807144548743	NA	NA	0.587918272377982	NA
meyerozyma caribbica	0.578226120402954	0.53332937019619	0.526929172024349	0.579962220475666	0.616793944489458	0.495691686550908	NA	NA	0.523072208740643	NA
candida oregonensis	0.507306709005332	0.415020666993502	0.342917583985485	0.41964620659698	0.545271605846131	NA	NA	0.363528108047358	0.476152786247435	NA
