taxon	copy.no	gene	stAI	estAI
aciculoconidium aculeatum	1	xyl1	0.445023615531273	0.901721897335932
alloascoidea hylecoeti	1	xyl1	0.471638425477744	0.747680443426919
alloascoidea hylecoeti	2	xyl1	0.482744931001097	0.841065188576937
alloascoidea hylecoeti	3	xyl1	0.521042143800013	0.975298228702253
alloascoidea hylecoeti	4	xyl1	0.500003409873758	0.928063622123147
alloascoidea hylecoeti	5	xyl1	0.4933214967124	0.901433907699723
alloascoidea hylecoeti	6	xyl1	0.503283899551357	0.937703337751536
ambrosiozyma ambrosiae	1	xyl1	0.549103070314107	0.949602122015915
ambrosiozyma kashinagacola	1	xyl1	0.52138773760256	0.781273131014064
ambrosiozyma maleeae	1	xyl1	0.368003222474709	0.888136942675159
ambrosiozyma monospora	1	xyl1	0.553993290133982	0.94564915207117
ambrosiozyma monospora	2	xyl1	0.516842004806245	0.877675840978593
ambrosiozyma oregonensis	1	xyl1	0.472937556821155	0.877122877122877
ambrosiozyma oregonensis	2	xyl1	0.440232841739718	0.730769230769231
ambrosiozyma philentoma	1	xyl1	0.497265392717919	0.766682221185254
ambrosiozyma philentoma	2	xyl1	0.553583004288653	0.930626847099082
ambrosiozyma pseudovanderkliftii	1	xyl1	0.433626059875015	0.275409836065574
ambrosiozyma pseudovanderkliftii	2	xyl1	0.532145463963936	0.85391621129326
ambrosiozyma vanderkliftii	1	xyl1	0.47770300897833	0.915045871559633
arxula adeninivorans	1	xyl1	0.409000879983122	0.995950704225352
ascoidea asiatica	1	xyl1	0.677611282740142	0.868301941889327
ascoidea rubescens	1	xyl1	0.380764378884156	0.732760133356729
ashbya aceri	1	xyl1	0.368215390035666	0.874598864477907
babjeviella inositovora	1	xyl1	0.400067503550977	0.964828723209379
barnettozyma californica	1	xyl1	0.460601418257379	0.922183293380048
barnettozyma californica	2	xyl1	0.422076060660902	0.794763046284344
barnettozyma hawaiiensis	1	xyl1	0.436955004717523	0.746658805031447
barnettozyma hawaiiensis	2	xyl1	0.486997934109186	0.9375
barnettozyma populi	1	xyl1	0.485429852403879	0.800302571860817
barnettozyma populi	2	xyl1	0.525063020848158	0.931164901664145
barnettozyma pratensis	1	xyl1	0.586206765139181	0.96013167520117
barnettozyma salicaria	1	xyl1	0.492432552078653	0.947970268724986
barnettozyma salicaria	2	xyl1	0.468400986254872	0.913474366304555
blastobotrys americana	1	xyl1	0.363621324843727	0.923556370302475
blastobotrys mokoenaii	1	xyl1	0.433232929234142	0.982649029376396
blastobotrys muscicola	1	xyl1	0.281258960115756	0.945954538229216
blastobotrys nivea	1	xyl1	0.430859494972916	0.967625899280576
blastobotrys peoriensis	1	xyl1	0.532849117032998	0.968592542828351
blastobotrys proliferans	1	xyl1	0.490966902667288	0.977018181818182
blastobotrys raffinofermentans	1	xyl1	0.42094106497634	0.994802146210597
blastobotrys serpentis	1	xyl1	0.533037593956248	0.968251410153102
brettanomyces anomalus	1	xyl1	0.409397983761952	0.776254698209153
brettanomyces custersianus	1	xyl1	0.392066249536439	0.569874476987448
candida albicans	1	xyl1	0.626414116488302	0.927781871775976
candida arabinofermentans	1	xyl1	0.692125046860272	0.968958293658351
candida ascalaphidarum	1	xyl1	0.388668553228857	0.8875
candida athensensis	1	xyl1	0.564153760838528	0.961728950923008
candida auris	1	xyl1	0.458107165823516	0.988819608686304
candida azyma	1	xyl1	0.5107631999956	0.949575275619013
candida blattae	1	xyl1	0.374384793774343	0.660015349194167
candida blattae	2	xyl1	0.456480266670585	0.940330007674597
candida boidinii	1	xyl1	0.651907400123893	0.941020191285866
candida canberraensis	1	xyl1	0.433908522557738	0.913289349670123
candida carpophila	1	xyl1	0.592621000690691	0.966287399915719
candida carpophila	2	xyl1	0.460047096863272	0.514538558786346
candida corydali	1	xyl1	0.400352736484498	0.93033353068877
candida cretensis	1	xyl1	0.462668160905427	0.947112462006079
candida dubliniensis	1	xyl1	0.543199458259016	0.966461473147952
candida emberorum	1	xyl1	0.460742212121479	0.965800273597811
candida fragi	1	xyl1	0.358347811241263	0.725796871906553
candida freyschussii	1	xyl1	0.578783297353508	0.963736472375166
candida fructus	1	xyl1	0.429920956748898	0.948949579831933
candida gatunensis	1	xyl1	0.301567840096768	0.925145954962469
candida glabrata	1	xyl1	0.395201650441043	0.944912641315519
candida golubevii	1	xyl1	0.434439810594328	0.962962962962963
candida gorgasii	1	xyl1	0.582814626077456	0.979445596831982
candida gotoi	1	xyl1	0.442370879976354	0.97029520295203
