Sequence	KO
Ambrosiozyma_kashinagacola_x_gi_1002316249_dbj_BCGA01000008.1_705250_706203_gi_1002316249_dbj_BCGA01000008.1_705250_706203_ORF1198_1002316249_705249_706202	K00002
Ambrosiozyma_oregonensis_34946_x_lcl_NODE_3_length_574203_cov_71.0128_ID_5_366676_367626_lcl_NODE_3_length_574203_cov_71.0128_ID_5_366676_367626_ORF556_NODE_3_length_574203_cov_71.0128_ID_5_366675_367625	K00002
Ambrosiozyma_philentoma_34947_x_lcl_NODE_37_length_130751_cov_37.7297_ID_73_122816_123766_lcl_NODE_37_length_130751_cov_37.7297_ID_73_122816_123766_ORF370_NODE_37_length_130751_cov_37.7297_ID_73_122815_123765	K00002
Ambrosiozyma_pseudovanderkliftii_35041_x_lcl_NODE_29_length_196675_cov_127.778_ID_57_c49074_48133_lcl_NODE_29_length_196675_cov_127.778_ID_57_c49074_48133_ORF1752_NODE_29_length_196675_cov_127.778_ID_57_49073_48132	K00002
Ascoidea_asiatica_x_gi_1002316735_dbj_BCKQ01000001.1_1086146_1087096_gi_1002316735_dbj_BCKQ01000001.1_1086146_1087096_ORF4917_1002316735_1086145_1087095	K00002
Barnettozyma_californica_35044_x_lcl_flattened_line_22_252228_253199_lcl_flattened_line_22_252228_253199_ORF2064_flattened_line_22_252227_253198	K00002
Barnettozyma_hawaiiensis_35045_x_lcl_flattened_line_32_c148519_147557_lcl_flattened_line_32_c148519_147557_ORF2029_flattened_line_32_148518_147556	K00002
Barnettozyma_populi_35046_x_lcl_NODE_14_length_343773_cov_16.2165_ID_3838_250468_251424_lcl_NODE_14_length_343773_cov_16.2165_ID_3838_250468_251424_ORF570_NODE_14_length_343773_cov_16.2165_ID_3838_250467_251423	K00002
Barnettozyma_pratensis_35047_x_lcl_flattened_line_144_13769_14695_lcl_flattened_line_144_13769_14695_ORF59_flattened_line_144_13768_14694	K00002
Botryozyma_nematodophila_34655_x_lcl_NODE_2999_length_1899_cov_4.45607_ID_5997_c1748_1074_lcl_NODE_2999_length_1899_cov_4.45607_ID_5997_c1748_1074_ORF11_NODE_2999_length_1899_cov_4.45607_ID_5997_1747_1073	K00002
Candida_blattae_35335_x_lcl_NODE_6_length_640593_cov_32.5732_ID_2678_c626461_625427_lcl_NODE_6_length_640593_cov_32.5732_ID_2678_c626461_625427_ORF7431_NODE_6_length_640593_cov_32.5732_ID_2678_626460_625426	K00002
Candida_freyschussii_34967_x_lcl_flattened_line_40_133785_134738_lcl_flattened_line_40_133785_134738_ORF904_flattened_line_40_133784_134737	K00002
Candida_intermedia_x_gi_1002316275_dbj_BCGD01000008.1_19383_20396_gi_1002316275_dbj_BCGD01000008.1_19383_20396_ORF2438_1002316275_19382_20395	K00002
Candida_montana_35037_x_lcl_NODE_6_length_737178_cov_21.3816_ID_11_692207_693151_lcl_NODE_6_length_737178_cov_21.3816_ID_11_692207_693151_ORF2618_NODE_6_length_737178_cov_21.3816_ID_11_692206_693150	K00002
Candida_mycetangii_35689_x_lcl_NODE_8_length_590382_cov_34.9311_ID_2147_c11943_10990_lcl_NODE_8_length_590382_cov_34.9311_ID_2147_c11943_10990_ORF4784_NODE_8_length_590382_cov_34.9311_ID_2147_11942_10989	K00002
Candida_orba_35673_x_lcl_NODE_44_length_60991_cov_88.2388_ID_5719_c6477_5524_lcl_NODE_44_length_60991_cov_88.2388_ID_5719_c6477_5524_ORF471_NODE_44_length_60991_cov_88.2388_ID_5719_6476_5523	K00002
Candida_ponderosae_35261_x_lcl_NODE_29_length_156251_cov_85.5209_ID_12929_c9640_8711_lcl_NODE_29_length_156251_cov_85.5209_ID_12929_c9640_8711_ORF1435_NODE_29_length_156251_cov_85.5209_ID_12929_9639_8710	K00002
Cephaloascus_albidus_34998_x_lcl_flattened_line_361_c6855_5845_lcl_flattened_line_361_c6855_5845_ORF152_flattened_line_361_6854_5844	K00002
Cephaloascus_fragrans_34999_x_lcl_NODE_12_length_309467_cov_12.1754_ID_23_c295838_294816_lcl_NODE_12_length_309467_cov_12.1754_ID_23_c295838_294816_ORF1746_NODE_12_length_309467_cov_12.1754_ID_23_295837_294815	K00002
Cyberlindnera_americana_35703_x_lcl_NODE_19_length_227830_cov_99.5677_ID_3649_221614_222567_lcl_NODE_19_length_227830_cov_99.5677_ID_3649_221614_222567_ORF484_NODE_19_length_227830_cov_99.5677_ID_3649_221613_222566	K00002
Cyberlindnera_fabianii_JCM3601_x_gi_1002316264_dbj_BCGI01000006.1_c5738_4704_gi_1002316264_dbj_BCGI01000006.1_c5738_4704_ORF12144_1002316264_5737_4703	K00002
Cyberlindnera_jadinii_x_lcl_scaffold_16_232063_232989_lcl_scaffold_16_232063_232989_ORF573_scaffold_16_232062_232988	K00002
