all_taxa	xyl1.1	xyl1.2	xyl1.3	xyl1.4	xyl1.5	xyl1.6	xyl2.1	xyl2.2	xyl2.3	xyl2.4	xyl2.5	xyl2.6	xyl3.1	xyl3.2	xyl3.3	xyl3.4	xyl3.5	xyl3.6
peterozyma xylosa	0.455757743583891	0.529020954345482	0.481092172926588	NA	NA	NA	0.49169098333889	NA	NA	NA	NA	NA	0.455821928498217	NA	NA	NA	NA	NA
barnettozyma californica	0.38922484159355	0.422767707420829	0.464899919092484	0.403501879538322	0.461351489183702	NA	0.434964708160406	NA	NA	NA	NA	NA	0.395252177373528	NA	NA	NA	NA	NA
ogataea pini	0.363881205415343	0.40387576915308	NA	NA	NA	NA	0.36021268585325	0.330900327642474	NA	NA	NA	NA	0.313002573601236	NA	NA	NA	NA	NA
lipomyces starkeyi	0.327678304196738	0.328950140789341	0.343753814161019	0.275100593942899	NA	NA	0.309479798161379	0.249412482303974	0.3116893011675	NA	NA	NA	0.267080903637887	NA	NA	NA	NA	NA
zygosaccharomyces rouxii	0.488260702940533	NA	NA	NA	NA	NA	0.421395231137808	NA	NA	NA	NA	NA	0.383371543285698	NA	NA	NA	NA	NA
kazachstania yakushimaensis	0.513775627378139	0.515171132005316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.428910761230276	NA	NA	NA	NA	NA
metschnikowia kamakouana	0.341329902165989	NA	NA	NA	NA	NA	0.32927066098941	NA	NA	NA	NA	NA	0.305634250579628	NA	NA	NA	NA	NA
candida schatavii	0.461074788265085	NA	NA	NA	NA	NA	0.44455306360439	0.384755694273825	NA	NA	NA	NA	0.400697656711554	NA	NA	NA	NA	NA
ogataea populiabae	0.331104905539041	0.332103590472981	NA	NA	NA	NA	0.336609201183559	0.310594790972397	0.371999406051933	NA	NA	NA	0.303980470324314	NA	NA	NA	NA	NA
barnettozyma hawaiiensis	0.490155791257565	0.433124955194431	0.487481806013212	NA	NA	NA	0.449441138489694	NA	NA	NA	NA	NA	0.400917254349553	NA	NA	NA	NA	NA
martiniozyma abiesophila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
metschnikowia matae maris	0.224403439556976	0.275499233539474	0.203616155466127	NA	NA	NA	0.231668970410873	0.250344193891548	0.249365287368754	NA	NA	NA	0.217801588201603	NA	NA	NA	NA	NA
metschnikowia mauinuiana	0.189704087498978	NA	NA	NA	NA	NA	0.176662748084449	NA	NA	NA	NA	NA	0.163696047761437	NA	NA	NA	NA	NA
lachancea cidri	0.32100642999495	NA	NA	NA	NA	NA	0.300796610227728	NA	NA	NA	NA	NA	0.261015784476628	NA	NA	NA	NA	NA
sporopachydermia lactativora	0.454924234177368	0.452843997564494	0.44031623385607	0.465858036290357	NA	NA	0.445052179328955	0.47219254431389	NA	NA	NA	NA	0.457206924342793	NA	NA	NA	NA	NA
ambrosiozyma vanderkliftii	0.479473303824215	NA	NA	NA	NA	NA	0.486493156899829	NA	NA	NA	NA	NA	0.405448843585361	NA	NA	NA	NA	NA
kazachstania bromeliacearum	0.496940570740618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3831397451381	NA	NA	NA	NA	NA
cyberlindnera jadinii	0.517498401758415	0.545871951300274	NA	NA	NA	NA	0.490696234265206	NA	NA	NA	NA	NA	0.474906584581613	NA	NA	NA	NA	NA
cyberlindnera saturnus	0.525372412465304	0.432018557706745	0.497943631254762	NA	NA	NA	0.489539019756629	NA	NA	NA	NA	NA	0.442997037162764	NA	NA	NA	NA	NA
ogataea methanolica	0.490754006874065	0.440215159603896	0.518750917525567	0.535778647821084	NA	NA	0.513467988089503	NA	NA	NA	NA	NA	0.450208678087869	NA	NA	NA	NA	NA
hyphopichia heimii	0.539886319610169	0.60302248519121	NA	NA	NA	NA	0.526258898844131	0.504618020845314	NA	NA	NA	NA	0.508138514328543	NA	NA	NA	NA	NA
metschnikowia similis	0.125881188495221	0.136769640635068	0.136086599970709	NA	NA	NA	0.124364115767026	NA	NA	NA	NA	NA	0.108418684090024	0.0923490236848425	NA	NA	NA	NA
blastobotrys americana	0.365848633829744	NA	NA	NA	NA	NA	0.339438271964351	NA	NA	NA	NA	NA	0.29529351218356	NA	NA	NA	NA	NA
candida freyschussii	0.579430265918777	NA	NA	NA	NA	NA	0.516144603908032	NA	NA	NA	NA	NA	0.490875469877208	NA	NA	NA	NA	NA
metschnikowia drakensbergensis	0.506739111287573	NA	NA	NA	NA	NA	0.472313561339008	0.432369512683453	NA	NA	NA	NA	0.4235374997135	NA	NA	NA	NA	NA
kluyveromyces dobzhanskii	0.374001845360716	NA	NA	NA	NA	NA	0.319058939812916	NA	NA	NA	NA	NA	0.29952048491082	NA	NA	NA	NA	NA
kluyveromyces lactis	0.344988171329156	NA	NA	NA	NA	NA	0.290562084728311	NA	NA	NA	NA	NA	0.25902620871724	NA	NA	NA	NA	NA
nakaseomyces castellii	0.33758461538279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.264653259151521	NA	NA	NA	NA	NA
debaryomyces hansenii	0.369470411726168	0.466719673432802	NA	NA	NA	NA	0.417155009363492	NA	NA	NA	NA	NA	0.390881844434766	NA	NA	NA	NA	NA
spathaspora passalidarum	0.486593977739546	0.552551470227336	NA	NA	NA	NA	0.512047031344607	0.353882125706184	NA	NA	NA	NA	0.461081722979577	NA	NA	NA	NA	NA
lachancea meyersii	0.344878745776335	NA	NA	NA	NA	NA	0.277740722543928	NA	NA	NA	NA	NA	0.252752577305091	NA	NA	NA	NA	NA
wickerhamomyces hampshirensis	0.54499834599545	0.530262986016024	NA	NA	NA	NA	0.5060532870848	0.482144505320547	NA	NA	NA	NA	0.425466309241292	NA	NA	NA	NA	NA
cyberlindnera fabianii	0.461609002177604	0.504516573363049	NA	NA	NA	NA	0.447414633578673	NA	NA	NA	NA	NA	0.437175478853763	NA	NA	NA	NA	NA
meyerozyma caribbica	0.578259302891489	0.495961031203266	NA	NA	NA	NA	0.526078934852762	0.514491723565164	NA	NA	NA	NA	0.530756676908918	NA	NA	NA	NA	NA
metschnikowia bowlesiae	0.110803040466382	0.112089075705976	0.112899683942329	NA	NA	NA	0.108946090678909	NA	NA	NA	NA	NA	0.0916941389836142	NA	NA	NA	NA	NA
saccharomycopsis malanga	0.535617363970866	0.528193813197759	NA	NA	NA	NA	0.49879460393783	0.464249673142479	NA	NA	NA	NA	0.451116109500559	NA	NA	NA	NA	NA
zygosaccharomyces bisporus	0.365175804933027	NA	NA	NA	NA	NA	0.380282562733109	NA	NA	NA	NA	NA	0.310156924961344	NA	NA	NA	NA	NA
candida gotoi	0.432878329080857	0.443355315036636	NA	NA	NA	NA	0.375251503455311	NA	NA	NA	NA	NA	0.378887015412586	NA	NA	NA	NA	NA
ambrosiozyma maleeae	0.370668754088196	NA	NA	NA	NA	NA	0.321152677160834	NA	NA	NA	NA	NA	0.259715413949351	NA	NA	NA	NA	NA
ogataea naganishii	0.437638742511793	0.375749980858348	0.448608007038813	NA	NA	NA	0.418957002441813	NA	NA	NA	NA	NA	0.382422467111322	NA	NA	NA	NA	NA
saturnispora silvae	0.429373430255246	NA	NA	NA	NA	NA	0.379479139735208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
barnettozyma populi	0.525932686807426	0.545881739675427	0.487279862811021	0.48623891872243	NA	NA	0.497852752227632	NA	NA	NA	NA	NA	0.440785961976106	NA	NA	NA	NA	NA
starmera amethionina	0.470616850453437	0.466740645135403	NA	NA	NA	NA	0.415223482524554	NA	NA	NA	NA	NA	0.392139627258083	NA	NA	NA	NA	NA
tetrapisispora namnaonensis	0.32150056977511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lachancea thermotolerans	0.297622891485682	NA	NA	NA	NA	NA	0.281851429220146	NA	NA	NA	NA	NA	0.240927225170025	NA	NA	NA	NA	NA
candida fructus	0.430935327844231	NA	NA	NA	NA	NA	0.381691512553964	NA	NA	NA	NA	NA	0.320766350968966	NA	NA	NA	NA	NA
kazachstania transvaalensis	0.336704122129646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.252250628706253	NA	NA	NA	NA	NA
saccharomycopsis capsularis	0.431935863023527	0.513777848975948	0.356215621625958	NA	NA	NA	0.38841572769085	0.303312896466352	NA	NA	NA	NA	0.387254282407241	NA	NA	NA	NA	NA
kazachstania kunashirensis	0.532647377690267	0.509592017167857	0.541309716872882	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.498541290109524	NA	NA	NA	NA	NA
dekkera bruxellensis	0.298365017524714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arxula adeninivorans	0.40968860174829	NA	NA	NA	NA	NA	0.242834387975981	0.259408802792162	0.352960520719256	NA	NA	NA	0.253668395655046	NA	NA	NA	NA	NA
kazachstania rosinii	0.379051435592813	NA	NA	NA	NA	NA	0.288263027373768	NA	NA	NA	NA	NA	0.299082444223201	NA	NA	NA	NA	NA
clavispora lusitaniae	0.420862632808402	NA	NA	NA	NA	NA	0.414853003021508	NA	NA	NA	NA	NA	0.331892434106465	NA	NA	NA	NA	NA
ambrosiozyma philentoma	0.556243551810196	0.498654858927179	NA	NA	NA	NA	0.555241074447025	NA	NA	NA	NA	NA	0.535905825622655	NA	NA	NA	NA	NA
metschnikowia cerradonensis	0.329009520164753	NA	NA	NA	NA	NA	0.311786441592666	NA	NA	NA	NA	NA	0.26734793913667	NA	NA	NA	NA	NA
lachancea quebecensis	0.288795593105106	NA	NA	NA	NA	NA	0.282263320506954	NA	NA	NA	NA	NA	0.236794538185122	NA	NA	NA	NA	NA
kazachstania naganishii	0.374279355458783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.298575911840721	NA	NA	NA	NA	NA
alloascoidea hylecoeti	0.492644490585302	0.504446141329594	0.48490509575026	0.474804773611165	0.501486697830336	0.522924499381447	0.519505291542948	0.540938806527165	NA	NA	NA	NA	0.482325163487203	NA	NA	NA	NA	NA
ogataea parapolymorpha	0.464623391615338	NA	NA	NA	NA	NA	0.416637420720146	0.422613605268688	NA	NA	NA	NA	0.386721070941849	NA	NA	NA	NA	NA
yamadazyma philogaea	0.6016158852951	NA	NA	NA	NA	NA	0.531154767641398	0.518360956824674	NA	NA	NA	NA	0.537719449844174	NA	NA	NA	NA	NA
cephaloascus fragrans	0.616133486641484	NA	NA	NA	NA	NA	0.469863499585906	NA	NA	NA	NA	NA	0.44225669181271	NA	NA	NA	NA	NA
lachancea waltii	0.257324420107009	NA	NA	NA	NA	NA	0.322639710945973	0.251251420075591	NA	NA	NA	NA	0.218129416446234	NA	NA	NA	NA	NA
ambrosiozyma ambrosiae	0.546612115344725	NA	NA	NA	NA	NA	0.53761760271843	NA	NA	NA	NA	NA	0.508706464973911	NA	NA	NA	NA	NA
candida intermedia	0.253463930546002	0.291139742077494	0.353973098115971	NA	NA	NA	0.293759604385803	NA	NA	NA	NA	NA	0.268155722047727	NA	NA	NA	NA	NA
