all_taxa	max_xyl1_stAI	max_xyl2_stAI	max_xyl3_stAI
peterozyma xylosa	0.529020954345482	0.49169098333889	0.455821928498217
barnettozyma californica	0.464899919092484	0.434964708160406	0.395252177373528
ogataea pini	0.40387576915308	0.36021268585325	0.313002573601236
lipomyces starkeyi	0.343753814161019	0.3116893011675	0.267080903637887
zygosaccharomyces rouxii	0.488260702940533	0.421395231137808	0.383371543285698
kazachstania yakushimaensis	0.515171132005316	NA	0.428910761230276
metschnikowia kamakouana	0.341329902165989	0.32927066098941	0.305634250579628
candida schatavii	0.461074788265085	0.44455306360439	0.400697656711554
ogataea populiabae	0.332103590472981	0.371999406051933	0.303980470324314
barnettozyma hawaiiensis	0.490155791257565	0.449441138489694	0.400917254349553
martiniozyma abiesophila	NA	NA	NA
metschnikowia matae maris	0.275499233539474	0.250344193891548	0.217801588201603
metschnikowia mauinuiana	0.189704087498978	0.176662748084449	0.163696047761437
lachancea cidri	0.32100642999495	0.300796610227728	0.261015784476628
sporopachydermia lactativora	0.465858036290357	0.47219254431389	0.457206924342793
ambrosiozyma vanderkliftii	0.479473303824215	0.486493156899829	0.405448843585361
kazachstania bromeliacearum	0.496940570740618	NA	0.3831397451381
cyberlindnera jadinii	0.545871951300274	0.490696234265206	0.474906584581613
cyberlindnera saturnus	0.525372412465304	0.489539019756629	0.442997037162764
ogataea methanolica	0.535778647821084	0.513467988089503	0.450208678087869
hyphopichia heimii	0.60302248519121	0.526258898844131	0.508138514328543
metschnikowia similis	0.136769640635068	0.124364115767026	0.108418684090024
blastobotrys americana	0.365848633829744	0.339438271964351	0.29529351218356
candida freyschussii	0.579430265918777	0.516144603908032	0.490875469877208
metschnikowia drakensbergensis	0.506739111287573	0.472313561339008	0.4235374997135
kluyveromyces dobzhanskii	0.374001845360716	0.319058939812916	0.29952048491082
kluyveromyces lactis	0.344988171329156	0.290562084728311	0.25902620871724
nakaseomyces castellii	0.33758461538279	NA	0.264653259151521
debaryomyces hansenii	0.466719673432802	0.417155009363492	0.390881844434766
spathaspora passalidarum	0.552551470227336	0.512047031344607	0.461081722979577
lachancea meyersii	0.344878745776335	0.277740722543928	0.252752577305091
wickerhamomyces hampshirensis	0.54499834599545	0.5060532870848	0.425466309241292
cyberlindnera fabianii	0.504516573363049	0.447414633578673	0.437175478853763
meyerozyma caribbica	0.578259302891489	0.526078934852762	0.530756676908918
metschnikowia bowlesiae	0.112899683942329	0.108946090678909	0.0916941389836142
saccharomycopsis malanga	0.535617363970866	0.49879460393783	0.451116109500559
zygosaccharomyces bisporus	0.365175804933027	0.380282562733109	0.310156924961344
candida gotoi	0.443355315036636	0.375251503455311	0.378887015412586
ambrosiozyma maleeae	0.370668754088196	0.321152677160834	0.259715413949351
ogataea naganishii	0.448608007038813	0.418957002441813	0.382422467111322
saturnispora silvae	0.429373430255246	0.379479139735208	NA
barnettozyma populi	0.545881739675427	0.497852752227632	0.440785961976106
starmera amethionina	0.470616850453437	0.415223482524554	0.392139627258083
tetrapisispora namnaonensis	0.32150056977511	NA	NA
lachancea thermotolerans	0.297622891485682	0.281851429220146	0.240927225170025
candida fructus	0.430935327844231	0.381691512553964	0.320766350968966
kazachstania transvaalensis	0.336704122129646	NA	0.252250628706253
saccharomycopsis capsularis	0.513777848975948	0.38841572769085	0.387254282407241
kazachstania kunashirensis	0.541309716872882	NA	0.498541290109524
dekkera bruxellensis	0.298365017524714	NA	NA
arxula adeninivorans	0.40968860174829	0.352960520719256	0.253668395655046
kazachstania rosinii	0.379051435592813	0.288263027373768	0.299082444223201
clavispora lusitaniae	0.420862632808402	0.414853003021508	0.331892434106465
ambrosiozyma philentoma	0.556243551810196	0.555241074447025	0.535905825622655
metschnikowia cerradonensis	0.329009520164753	0.311786441592666	0.26734793913667
lachancea quebecensis	0.288795593105106	0.282263320506954	0.236794538185122
kazachstania naganishii	0.374279355458783	NA	0.298575911840721
alloascoidea hylecoeti	0.522924499381447	0.540938806527165	0.482325163487203
ogataea parapolymorpha	0.464623391615338	0.422613605268688	0.386721070941849
yamadazyma philogaea	0.6016158852951	0.531154767641398	0.537719449844174
cephaloascus fragrans	0.616133486641484	0.469863499585906	0.44225669181271
lachancea waltii	0.257324420107009	0.322639710945973	0.218129416446234
ambrosiozyma ambrosiae	0.546612115344725	0.53761760271843	0.508706464973911
candida intermedia	0.353973098115971	0.293759604385803	0.268155722047727
cyberlindnera petersonii	0.558995668147715	0.462193494211443	0.435966961488766
cyberlindnera mrakii	0.55641152823118	0.509100314692048	0.458518640664623
kazachstania taianensis	0.384355740504271	NA	0.233407013877902
ambrosiozyma oregonensis	0.46917029288856	0.485220747667394	0.44757950674942
citeromyces siamensis	0.358187405939343	0.355161443433473	0.329732156240934
komagataella populi	0.315369584045441	0.291376214009757	0.279053185767663
phaffomyces opuntiae	0.6295845423329	0.539910057962375	0.479295113653615
cyberlindnera suaveolens	0.565004868236732	0.524292522687659	0.480028578529178
candida tropicalis	0.611534560533519	0.576638647329591	0.534925462975365
naumovozyma castellii	0.44342084530952	0.390219262960459	0.358843282817487
kazachstania martiniae	0.466335480336461	NA	0.388696172761166
candida ascalaphidarum	0.390751229025611	0.37425199212084	0.332081714737167
candida orba	0.60201905935718	0.485013481960829	0.507369317424907
lachancea fermentati	0.297653838381005	0.2433304200092	0.24142979786276
zygotorulaspora florentina	0.321978974666633	0.300336531519534	0.272251954335193
kodamaea laetipori	0.475113238969386	0.500703315156429	0.419337783994017
candida boidinii	0.654483726017396	0.675244393454438	0.605430868438094
spathaspora gorwiae	0.53932284670712	0.529894359484345	0.458404379609434
tetrapisispora blattae	0.441084376956658	NA	NA
phaffomyces thermotolerans	0.632745464383225	0.514646938585752	0.49646335214368
metschnikowia shivogae	0.348422397128279	0.278501610489092	0.274288060729414
kazachstania spencerorum	0.463797057457211	0.400506549377416	0.404506079252629
kuraishia ogatae	0.524318732416599	0.459965593771395	0.45632666355277
diddensiella caesifluorescens	0.49532405440398	0.437905441950927	0.371685103460297
ogataea zsoltii	0.488494214186727	0.40551103922014	0.401342438202498
phaffomyces antillensis	0.605828016902184	0.496778228052958	0.451197624530712
pichia membranifaciens	0.470660446061589	0.425569433761301	0.40609743556868
saccharomyces cerevisiae	0.306223190109227	0.287015418478841	0.248921073751605
blastobotrys nivea	0.43189412291597	0.356915075832552	0.369110232518538
candida corydali	0.400856030212893	0.344503424031757	0.342572184036752
debaryomyces prosopidis	0.501822749141885	0.448979993496458	0.424310095444482
candida athensensis	0.564916548423054	0.506148170143464	0.488849013141552
wickerhamomyces alni	0.604092096040421	0.521435435171184	0.473007577558282
candida rhagii	0.595877512255526	0.524983712331087	0.500731873644746
babjeviella inositovora	0.398395172500984	0.309040262288449	0.290893848781913
candida gorgasii	0.588396108173771	0.532049939184587	0.497951616765292
wickerhamia fluorescens	0.275856799207977	0.23377209002596	0.240353414862436
yarrowia bubula	0.310105519996706	NA	0.241663381753879
ambrosiozyma kashinagacola	0.522402021821193	0.581259304552933	0.478651270516414
candida mycetangii	0.478731754488022	0.422182571731538	0.442038823004176
candida emberorum	0.461355980899173	0.350049971659087	0.304306101370907
ogataea trehalophila	0.440519714938062	0.424100641151538	0.364089038967353
peterozyma toletana	0.530517519879217	0.499590095731791	0.454636922653082
torulaspora microellipsoides	0.438186395368802	0.453339701685095	0.375869609560571
saturnispora dispora	0.293055957692157	0.261172656379988	0.26195239473553
saturnispora serradocipensis	0.296613389361968	0.257803805959147	0.245517702142799
cyberlindnera misumaiensis	0.534885555023781	0.482540183712217	0.464669654226202
barnettozyma pratensis	0.62621412548543	0.529570352221847	0.473369722580106
geotrichum candidum	0.329785540443285	0.307097713829394	0.21798181387124
kazachstania aerobia	0.527405249843216	NA	0.374547407586107
kazachstania viticola	0.443101281583936	NA	0.357279011348762
metschnikowia hibisci	0.590777421934052	0.565989599087357	0.516809080221665
lipomyces kononenkoae	0.355480316418854	0.306991554836596	0.27781710363042
ambrosiozyma pseudovanderkliftii	0.528579657266859	0.550652336152459	0.46768226050308
ogataea glucozyma	0.349580703427099	0.292506967731852	0.29139788534367
lachancea kluyveri	0.347514481332939	0.314843072173667	0.24112762656138
nakazawaea peltata	0.553340673129764	0.486104396826249	0.423532223799547
lipomyces suomiensis	0.337094764107419	0.303073206270108	0.253815915749912
metschnikowia matae	0.325019016097618	0.305642052533084	0.260253161808194
sporopachydermia quercuum	0.549492509082986	0.554859257853257	0.491459391496805
ascoidea rubescens	0.380672429136312	0.347745614666425	0.331791618774309
cyberlindnera americana	0.435824336173955	0.374272410050433	0.324018627356755
lachancea nothofagi	0.29670094659928	0.291869471541147	0.231282115133836
candida carpophila	0.593938998853312	0.519355197596848	0.515665803551566
kazachstania turicensis	0.63193159647619	0.525253391720823	0.508480602678479
