species.name	S.value
aciculoconidium aculeatum	0.801828891
alloascoidea hylecoeti	0.073479156
ambrosiozyma ambrosiae	0.716652108
ambrosiozyma kashinagacola	0.602666981
ambrosiozyma maleeae	0.760698193
ambrosiozyma monospora	0.774306679
ambrosiozyma oregonensis	0.522193757
ambrosiozyma philentoma	0.687810073
ambrosiozyma pseudovanderkliftii	0.759024495
ambrosiozyma vanderkliftii	0.794826933
ascoidea asiatica	-0.252944672
ascoidea rubescens	0.373648881
ashbya aceri	0.063477988
babjeviella inositovora	0.781581328
barnettozyma californica	0.842429193
barnettozyma hawaiiensis	0.797227089
barnettozyma populi	0.810614059
barnettozyma pratensis	0.524839381
barnettozyma salicaria	0.67640036
arxula adeninivorans	0.805843418
blastobotrys americana	0.643104087
blastobotrys mokoenaii	0.627301846
blastobotrys muscicola	0.745792019
blastobotrys nivea	0.631068924
blastobotrys peoriensis	0.669207006
blastobotrys proliferans	0.60855014
blastobotrys raffinofermentans	0.771094368
blastobotrys serpentis	0.780154283
brettanomyces anomalus	0.75145111
brettanomyces bruxellensis	0.707264895
candida albicans	0.208477171
starmerella apicola	0.692615171
candida arabinofermentans	0.026928241
candida ascalaphidarum	-0.007725331
candida athensensis	0.681611691
candida auris	0.713485506
candida blattae	0.586483663
candida boidinii	0.273277855
nakaseomyces bracarensis	0.849087595
candida carpophila	0.616800205
nakaseomyces castellii	0.701825079
candida corydali	0.436343656
candida dubliniensis	-0.053995648
candida fragi	0.797225253
candida freyschussii	0.744338323
candida fructus	0.601570205
candida glabrata	0.863041976
candida golubevii	0.629172975
candida gorgasii	0.489219633
candida gotoi	0.608815634
candida hawaiiana	0.690892624
candida heveicola	0.661968226
candida hispaniensis	0.838718255
candida incommunis	0.454150237
candida intermedia	0.811845467
candida montana	0.56373678
candida mycetangii	0.706779943
nakaseomyces nivariensis	0.871710322
candida orba	0.528695669
candida oregonensis	0.615722314
candida orthopsilosis	0.412540464
candida parapsilosis	0.595113507
candida ponderosae	0.548668462
candida restingae	0.785019779
candida rhagii	0.546589195
candida schatavii	0.647056492
