PU.	Growth Rate
26127	0
26137	0
26142	0
26147	0
26152	0
26177	0
26219	0
26256	0
26274	0
26279	0
34572	1.51032555
34579	0
34580	0
34592	0
34594	0
34603	0.925854645
34604	0
34605	0
34606	0.95994681
34610	0
34611	0
34612	0
34613	0
34614	0
34615	0
34616	0.712437802
34617	0.58107421
34622	0
34623	0
34624	0
34625	0
34627	0.522594544
34629	0
34631	0
34632	0
34634	0.070625666
34636	0.528883368
34637	0
34643	0
34646	0
34648	0.301896493
34654	0
34658	0.20085219
34659	0.531917629
34660	0.325621165
34661	1.644636283
34665	0.364211383
34669	0.552371801
34670	0
34671	0.482574135
34674	0
34675	0
34678	0
34680	0.769422595
34690	0
34691	0
34692	0
34693	0
34694	0
34695	0
34696	0
34697	0
34709	0
34710	0
34712	0
34713	0
34720	0
34723	0
34724	0
34725	0
34738	0
34743	1.046347267
34754	1.144972613
34758	1.202911662
34862	0
34863	0
34865	0
34866	0
34869	0
34871	0
34875	0
34876	0
34877	0
34881	0
34884	0.195277046
34885	0.338411329
34886	0.055391381
34887	2.146021726
34890	0.420175779
34891	0
34892	0
34893	0
34897	0
34899	0
34900	0.112284546
34901	0.49543014
34902	0
34903	0.406096817
34904	0
34906	0.393804245
34918	0
34921	0.457573847
34925	0.240637933
34926	0.507395715
34932	0.250078689
34933	0.25353123
34937	0.217562796
34939	0
34946	0.413391407
34947	0.631136889
34950	0
34952	0
34953	0.166347026
34955	0
34957	0
34963	0
34967	0.15399635
34973	0
34974	0.610861411
34978	0.173722652
34979	0.330916567
34986	0.800973756
34987	0.395809496
34988	0
34990	0
34991	0
34995	0.618039941
34996	0.234378605
34997	0.173575505
34998	0.361234779
34999	0
35004	0.452730907
35005	0
35010	0
35011	0.379483897
35018	0.18226014
35031	0.210634729
35033	0.217685599
35037	0
35038	0
35040	0.114615977
35041	0
35043	1.083011408
35044	0.624399523
35045	0.468311588
35046	0.941113457
35047	0.163506687
35048	2.036405683
35242	0.498346357
35243	0
35244	0.219902048
35252	0.330661156
35268	0.216538714
35269	0
35271	0.204896106
35273	0
35274	0.598666945
35282	0
35286	0.351084261
35289	0
35296	0.306334006
35297	0.339677301
35301	0
35316	0.3715146
35318	0.445830977
35325	0.222794836
35335	0.150390792
35336	0.15288162
35633	0
35639	0.265695786
35640	0.620596812
35641	1.032050583
35643	0
35644	0
35645	0
35646	0
35647	0
35650	0
35651	0
35652	0
35653	0
35657	0
35659	0
35660	0.234133802
35661	0
35662	0.369100472
35664	0.521456343
35665	1.300924713
35666	0
35667	0.176953225
35669	0.313437257
35670	0
35671	0
35672	0
35673	0
35674	0
35675	0
35677	0
35679	0.384751819
35681	0.134529532
35682	0
35684	0
35686	0.138286886
35687	0.311985854
35688	0.384959885
35689	0.227010724
35691	0
35695	0
35696	0
35699	0
35701	0.211013736
35703	0.695865394
35707	0
35717	0.164639414
37840	0.697917242
37855	0.481634779
37882	0.159208062
40795	0.392960435
40934	0.227538067
40935	0.282336899
40937	0
40940	1.077972967
40941	0.710995601
40943	0.394420359
40945	0
40946	0
40947	0
40948	0.324586223
40949	0.441732364
40950	0.431284169
40953	0
40954	0.732856565
40955	0
40956	0.701329033
40959	0.519784198
40967	0
40968	0
40972	0
40973	0
40977	0
40982	0
40987	0
40994	0
40995	0
40997	0
41000	0
41678	0.370437394
41693	0.580325312
41713	0.16481472
41742	0.461539829
41743	0.372397298
41802	0
41818	0
41824	0.240921448
41829	0.41348061
41833	0.56179672
41836	0.357583687
41840	0
41855	0.491215432
41862	0
41863	0.407356458
