PU#	Ship	Species	Row	Col
34750	1	Dipodascopsis anomala 	A	1
34751	1	Dipodascopsis tothii 	A	2
34752	1	Dipodascopsis uninucleata var. uninucleata	A	3
34753	1	Dipodascopsis uninucleata var. wickerhamii 	A	4
34754	1	Lipomyces arxii	A	5
34755	1	Lipomyces chichibuensis	A	6
34756	1	Hemisphaericaspora nanyangensis	A	7
34757	1	Lipomyces doorenjongii	A	8
34758	1	Lipomyces japonicus	A	9
34759	1	Lipomyces kockii	A	10
34760	1	Lipomyces kononenkoae	A	11
34761	1	Lipomyces lipofer	A	12
34749	1	Lipomyces mesembrius	B	1
34748	1	Lipomyces oligophaga	B	2
34747	1	Lipomyces orientalis	B	3
34746	1	Lipomyces smithiae	B	4
34745	1	Lipomyces sp. n.	B	5
34744	1	Lipomyces spencer-martinsiae	B	6
34743	1	Lipomyces starkeyi	B	7
34742	1	Lipomyces suomiensis	B	8
34741	1	Lipomyces tetrasporus	B	9
34740	1	Lipomyces yamadae	B	10
34739	1	Lipomyces yarrowii	B	11
34738	1	Geotrichum candidum	B	12
34726	1	Myxozyma geophila 	C	1
34727	1	Myxozyma kluyveri 	C	2
34728	1	Myxozyma lipomycoides 	C	3
34729	1	Myxozyma melibiosi 	C	4
34730	1	Myxozyma monticola 	C	5
34731	1	Myxozyma mucilagina 	C	6
26240	1	Myxozyma neglecta 	C	7
34733	1	Myxozyma neotropica 	C	8
34734	1	Myxozyma nipponensis 	C	9
34735	1	Myxozyma sirexii 	C	10
34736	1	Myxozyma udenii 	C	11
34737	1	Myxozyma vanderwaltii 	C	12
34725	1	Candida bracarensis	D	1
34724	1	Candida castellii	D	2
34723	1	Candida glabrata	D	3
34722	1	Candida kungkrabaensis	D	4
34721	1	Candida milleri	D	5
34720	1	Candida nivariensis	D	6
34719	1	Candida pseudohumilis	D	7
34718	1	Candida uthaithanina	D	8
34717	1	Cyniclomyces guttulatus  	D	9
34704	1	Hagleromyces aurorensis	E	3
34705	1	Kazachstania barnettii	E	4
34706	1	Kazachstania psychrophila	E	5
34707	1	Kazachstania rupicola	E	6
34708	1	Kazachstania yasuniensis	E	7
34709	1	Kluyveromyces aestuarii	E	8
34710	1	Kluyveromyces dobzhanskii	E	9
34711	1	Kluyveromyces lactis var. drosophilarum	E	10
34712	1	Kluyveromyces lactis var. lactis	E	11
34713	1	Kluyveromyces marxianus	E	12
34701	1	Kluyveromyces nonfermentans	F	1
34700	1	Kluyveromyces siamensis	F	2
34699	1	Kluyveromyces wickerhamii	F	3
34698	1	Lachancea cidri	F	4
34697	1	Lachancea dasiensis	F	5
34696	1	Lachancea fantastica nom. nud.	F	6
34695	1	Lachancea fermentati	F	7
34694	1	Lachancea kluyveri	F	8
34693	1	Lachancea lanzarotensis 	F	9
34692	1	Lachancea meyersii	F	10
34691	1	Lachancea mirantina	F	11
34690	1	Lachancea nothofagi	F	12
34678	1	Lachancea thermotolerans	G	1
26219	1	Lachancea waltii	G	2
34680	1	Blastobotrys adeninivorans	G	3
34681	1	Blastobotrys americana	G	4
34682	1	Blastobotrys arbuscula	G	5
34683	1	Blastobotrys aristata	G	6
34684	1	Blastobotrys attinorum	G	7
26239	1	Blastobotrys buckinghamii	G	8
34686	1	Blastobotrys capitulata	G	9
34687	1	Blastobotrys chiropterorum	G	10
34688	1	Blastobotrys elegans	G	11
34689	1	Blastobotrys illinoisensis	G	12
34677	1	Blastobotrys indianensis	H	1
34676	1	Blastobotrys malaysiensis	H	2
34675	1	Blastobotrys mokoenaii	H	3
34674	1	Blastobotrys muscicola	H	4
34673	1	Blastobotrys nivea	H	5
34672	1	Blastobotrys parvus	H	6
34671	1	Blastobotrys peoriensis	H	7
34670	1	Blastobotrys proliferans	H	8
34669	1	Blastobotrys raffinofermentans	H	9
34668	1	Blastobotrys robertii	H	10
34667	1	Blastobotrys serpentis	H	11
34666	1	Blastobotrys terrestris	H	12
26137	2	Ambrosiozyma ambrosiae 	A	1
34942	2	Ambrosiozyma angophorae 	A	2
26280	2	Ambrosiozyma cicatricosa 	A	3
26279	2	Ambrosiozyma monospora	A	4
34946	2	Ambrosiozyma oregonensis 	A	5
34947	2	Ambrosiozyma philentoma 	A	6
34948	2	Ambrosiozyma platypodis 	A	7
34949	2	Ambrosiozyma neoplatypodis 	A	8
34950	2	Citeromyces hawaiiensis	A	9
26142	2	Citeromyces matritensis	A	10
34952	2	Citeromyces siamensis	A	11
34953	2	Komagataella pastoris	A	12
34941	2	Komagataella phaffii	B	1
26274	2	Komagataella populi	B	2
34939	2	Komagataella pseudopastoris	B	3
34938	2	Komagataella ulmi	B	4
34937	2	Kuraishia capsulata	B	5
34936	2	Kuraishia cidri	B	6
34935	2	Kuraishia floccosa	B	7
34934	2	Kuraishia hungarica	B	8
34933	2	Kuraishia molischiana	B	9
34932	2	Kuraishia ogatae	B	10
34931	2	Kuraishia piskuri	B	11
34930	2	Nakazawaea ernobii	B	12
34918	2	Nakazawaea holstii	C	1
34919	2	Nakazawaea ishiwadae	C	2
34920	2	Nakazawaea laoshanensis	C	3
34921	2	Nakazawaea peltata	C	4
34922	2	Nakazawaea pomicola	C	5
34923	2	Nakazawaea wickerhamii	C	6
34924	2	Nakazawaea wyomingensis	C	7
34925	2	Candida arabinofermentans 	C	8
34926	2	Candida boidinii 	C	9
34927	2	Candida maris 	C	10
26143	2	Candida methanosorbosa 	C	11
34929	2	Candida nanaspora 	C	12
34917	2	Candida nemodendra 	D	1
34916	2	Candida nitratophila 	D	2
34915	2	Candida piceae 	D	3
26167	2	Candida pignaliae 	D	4
34913	2	Candida pini 	D	5
34912	2	Candida sonorensis 	D	6
26270	2	Candida sp. 	D	7
34910	2	Candida sp. 	D	8
34909	2	Candida sp. 	D	9
34908	2	Candida sp. 	D	10
34907	2	Candida sp. 	D	11
34906	2	Candida succiphila 	D	12
34870	2	Candida suzukii 	E	1
34895	2	Ogataea angusta	E	2
34896	2	Ogataea dorogensis 	E	3
34897	2	Ogataea glucozyma 	E	4
26124	2	Ogataea henricii 	E	5
34899	2	Ogataea kodamae 	E	6
34900	2	Ogataea methanolica 	E	7
34901	2	Ogataea methylivora 	E	8
34902	2	Ogataea minuta	E	9
34903	2	Ogataea naganishii 	E	10
34904	2	Ogataea nonfermentans 	E	11
26177	2	Ogataea parapolymorpha	E	12
34893	2	Ogataea philodendra 	F	1
34892	2	Ogataea pilisensis	F	2
34891	2	Ogataea pini 	F	3
34890	2	Ogataea ramenticola 	F	4
34889	2	Ogataea salicorniae 	F	5
26190	2	Ogataea sp. 	F	6
34887	2	Ogataea trehaloabstinens 	F	7
34886	2	Ogataea trehalophila	F	8
34885	2	Ogataea zsoltii 	F	9
34884	2	Peterozyma toletana	F	10
34883	2	Peterozyma xylosa 	F	11
