all_taxa	xyl1	xyl2	xyl3	tkl1	tal1
candida tropicalis	0.977026522226373	0.908137583892617	0.931639895405304	0.980014942099365	0.994546979865772
spathaspora gorwiae	0.991231647634584	0.988988580750408	0.930057096247961	0.974918433931484	0.996329526916803
spathaspora hagerdaliae	0.984230769230769	0.960961538461538	0.930961538461539	0.989038461538462	0.99409594095941
spathaspora arborariae	0.997138184791496	0.859455481972038	0.877964022894522	0.985895339329518	0.991618969746525
spathaspora girioi	0.995225780783768	0.957827730256614	0.925800676347722	0.985080564949274	0.995225780783768
spathaspora passalidarum	0.977026522226373	0.861233146492956	0.931639895405304	0.980014942099365	0.992715726559582
hyphopichia burtonii	0.963079693831607	0.823098820658804	0.839975599837332	0.954656364375763	0.988743809095002
candida gotoi	0.972252807751597	0.899801805769654	0.799815498154982	0.965129151291513	0.99409594095941
hyphopichia heimii	0.97682119205298	0.859455481972038	0.826158940397351	0.956774729842061	0.987674760853569
candida rhagii	0.986419013381266	0.835016193560678	0.797866260240046	0.957896742236616	0.996405032953865
lipomyces mesembrius	0.967732161793668	0.861233146492956	0.510360706062932	0.922587486744433	0.991516436903499
candida athensensis	0.963079693831607	NA	0.508104457451598	0.881809995497524	0.988743809095002
meyerozyma guilliermondii	0.972252807751597	0.899801805769654	0.698524554062982	0.9505039193729	0.986787051310284
meyerozyma caribbica	0.95407315045719	0.809019118869493	0.75665004156276	0.958613445378151	0.98781512605042
candida oregonensis	0.986419013381266	0.804873177551428	0.348911523866587	0.970981290568919	0.996405032953865
candida blattae	0.862914862914863	0.841903300076746	0.510360706062932	0.950113378684807	0.978148835291692
tortispora starmeri	0.972605741836511	0.706771860618014	0.701293008985317	0.971729125575279	0.905440414507772
clavispora lusitaniae	0.93574889403834	NA	0.651780071624184	0.955761533600169	0.958790593505039
candida fructus	0.969570267131243	NA	0.639915966386555	0.958613445378151	0.98781512605042
candida golubevii	0.96315387552501	0.945116100556515	0.479178660525811	0.977931299174822	0.931682978315103
metschnikowia bicuspidata	0.947516025641026	0.885817307692308	0.759214743589744	0.975761217948718	0.978148835291692
candida wancherniae	0.972605741836511	0.882475083056478	0.767234219269103	0.971760797342193	0.977782392026578
candida hawaiiana	0.93574889403834	0.849106959556559	0.651780071624184	0.966536645452679	0.918264166842216
tortispora caseinolytica	0.969570267131243	0.863598150483396	0.655527532576713	0.973308112652375	0.977700348432056
metschnikowia bowlesiae	0.966445733222867	0.948218724109362	0.784797017398509	0.977931299174822	0.977009113504557
metschnikowia dekortum	0.980839612486545	0.885817307692308	0.759214743589744	0.975761217948718	0.977825618945102
metschnikowia kipukae	0.953488372093023	0.882475083056478	0.767234219269103	0.971760797342193	0.981876332622601
metschnikowia proteae	0.969219494320264	0.95071454745328	0.790582631000366	0.966536645452679	0.952729937706119
metschnikowia drakensbergensis	0.977917981072555	0.923589204346302	0.731335436382755	0.973308112652375	0.938310550297932
